,N,ST,EE,RLE,CE,AGR,SLR
final_baseline,10,0.9,0,0.1,0,3.6166666666666667,0.6666666666666666
command_r,10,0.9,0,0.1,0,2.85,0.8888888888888888
add_restrict_info,10,1.0,0,0.0,0,3.3333333333333335,0.3
low_temperature,10,0.6,0,0.4,0,4.416666666666667,0.3333333333333333
high_temperature,10,0.9,0,0.1,0,3.483333333333333,0.3333333333333333
sub_cot,10,1.0,0,0.0,0,2.566666666666667,0.9
sub_preamble,10,0.9,0,0.1,0,3.466666666666667,0.5555555555555556
